Date,"20251231, USD Par OIS Rate"
7D,3.6339
1M,3.62964
2M,3.62163
3M,3.60385
6M,3.53931
9M,3.45881
1Y,3.39107
1.5Y,3.29057
2Y,3.26718
3Y,3.2867
4Y,3.33605
5Y,3.39944
6Y,3.46946
7Y,3.53741
8Y,3.60098
9Y,3.66534
10Y,3.72832
